page,title,q_num,question,option_a,option_b,option_c,correct_letter,correct_text
03,Liczby całkowite,4,Która liczba jest mniejsza?,−2,−7,0,B,−7
03,Liczby całkowite,5,a − b = ?,a + (−b),a : b,a · b,A,a + (−b)
03,Liczby całkowite,6,Liczba przeciwna do 7 to…,1/7,7,−7,C,−7
03,Liczby całkowite,7,Zero jest…,dodatnie,"ani dodatnie, ani ujemne",ujemne,B,"ani dodatnie, ani ujemne"
03,Liczby całkowite,8,Przykład użycia liczb całkowitych:,"temperatura, dług, piętra",tylko litery,tylko kolory,A,"temperatura, dług, piętra"
03,Liczby całkowite,9,Które jest większe?,−20,−8,−1,C,−1
03,Liczby całkowite,10,|0| = ?,1,0,−1,B,0
04,Dodawanie i odejmowanie,1,Dodawanie odpowiada na pytanie…,ile zostało?,ile razem?,ile razy?,B,ile razem?
04,Dodawanie i odejmowanie,2,Odejmowanie odpowiada na pytanie…,ile zostało?,który z kolei?,ile razem?,A,ile zostało?
04,Dodawanie i odejmowanie,3,Wynik dodawania to…,iloczyn,różnica,suma,C,suma
04,Dodawanie i odejmowanie,4,Wynik odejmowania to…,suma,różnica,iloraz,B,różnica
04,Dodawanie i odejmowanie,5,W 8 − 3 = 5 odjemna to…,8,5,3,A,8
04,Dodawanie i odejmowanie,6,W 8 − 3 = 5 odjemnik to…,5,8,3,C,3
04,Dodawanie i odejmowanie,7,3 + 5 = 5 + 3 — to…,dzielenie,przemienność,potęgowanie,B,przemienność
04,Dodawanie i odejmowanie,8,Jak sprawdzić odejmowanie?,dodać różnicę i odjemnik,podzielić przez 2,pomnożyć,A,dodać różnicę i odjemnik
04,Dodawanie i odejmowanie,9,3 + 2 na palcach = ?,1,6,5,C,5
04,Dodawanie i odejmowanie,10,a − 0 = ?,0,a,1,B,a
05,Tabliczka mnożenia,1,Mnożenie to skrót…,odejmowania,dodawania tej samej liczby,dzielenia,B,dodawania tej samej liczby
05,Tabliczka mnożenia,2,4 × 3 = ?,12,1,7,A,12
05,Tabliczka mnożenia,3,"4 × 3 = 4+4+4. To pokazuje, że…",mnożenie = ułamek,mnożenie = odejmowanie,mnożenie = wielokrotne +,C,mnożenie = wielokrotne +
05,Tabliczka mnożenia,4,Wynik mnożenia to…,suma,iloczyn,różnica,B,iloczyn
05,Tabliczka mnożenia,5,"Liczby, które mnożymy, to…",czynniki,odjemniki,dzielniki,A,czynniki
05,Tabliczka mnożenia,6,3 × 4 = 4 × 3 — to…,pierwiastek,dzielenie z resztą,przemienność,C,przemienność
05,Tabliczka mnożenia,7,a × 0 = ?,a,0,1,B,0
05,Tabliczka mnożenia,8,a × 1 = ?,a,1,0,A,a
05,Tabliczka mnożenia,9,7 × 8 = ?,78,15,56,C,56
05,Tabliczka mnożenia,10,5 × 5 = ?,10,25,55,B,25
06,Dzielenie,1,Dzielenie w kl. 1–3 to często…,mnożenie,sprawiedliwe rozdawanie,zaokrąglanie,B,sprawiedliwe rozdawanie
06,Dzielenie,2,Wynik dzielenia to…,iloraz,iloczyn,suma,A,iloraz
06,Dzielenie,3,W 12 : 3 = 4 dzielna to…,4,3,12,C,12
06,Dzielenie,4,W 12 : 3 = 4 dzielnik to…,12,3,4,B,3
06,Dzielenie,5,17 : 5 = ?,3 r. 2,5 r. 0,2 r. 3,A,3 r. 2
06,Dzielenie,6,Jak sprawdzić dzielenie?,zaokrągleniem,odejmowaniem,mnożeniem,C,mnożeniem
06,Dzielenie,7,Czy wolno dzielić przez 0?,tak,nie,tylko w kl. 8,B,nie
06,Dzielenie,8,a : 1 = ?,a,0,1,A,a
06,Dzielenie,9,12 cukierków : 3 dzieci = po…,12,3,4,C,4
06,Dzielenie,10,a : a = ? (a ≠ 0),0,1,a,B,1
07,Kolejność działań,1,Co liczymy najpierw?,dodawanie,nawiasy,odejmowanie,B,nawiasy
07,Kolejność działań,2,Co po nawiasach?,potęgi,porównanie,dodawanie,A,potęgi
07,Kolejność działań,3,Co przed + i −?,tylko −,tylko +,× i :,C,× i :
07,Kolejność działań,4,2 + 3 × 4 = ?,20,14,9,B,14
07,Kolejność działań,5,(2 + 3) × 4 = ?,20,9,14,A,20
07,Kolejność działań,6,Przy × i : na tym samym poziomie idziemy…,tylko w górę,od prawej do lewej,od lewej do prawej,C,od lewej do prawej
07,Kolejność działań,7,2 + 3² = ?,25,11,5,B,11
07,Kolejność działań,8,Kolejność działań (skrót):,() → potęgi → ×: → +−,× → + → (),+− → ×: → (),A,() → potęgi → ×: → +−
07,Kolejność działań,9,24 : 6 × 2 = ?,12,2,8,C,8
07,Kolejność działań,10,Najpierw zawsze…,procenty,nawiasy,pierwiastek,B,nawiasy
08,Podzielność,1,Cecha podzielności przez 2?,suma cyfr ÷ 3,ostatnia cyfra parzysta,końcówka 5,B,ostatnia cyfra parzysta
08,Podzielność,2,Cecha przez 3?,suma cyfr ÷ 3,dwie ostatnie cyfry,ostatnia cyfra 0,A,suma cyfr ÷ 3
08,Podzielność,3,Cecha przez 5?,pierwsza cyfra 5,suma cyfr ÷ 5,końcówka 0 lub 5,C,końcówka 0 lub 5
08,Podzielność,4,Cecha przez 10?,końcówka 5,końcówka 0,suma cyfr ÷ 10,B,końcówka 0
08,Podzielność,5,Cecha przez 9?,suma cyfr ÷ 9,dwie pierwsze cyfry,ostatnia cyfra 9,A,suma cyfr ÷ 9
08,Podzielność,6,Cecha przez 4?,tylko końcówka 4,suma cyfr ÷ 4,2 ostatnie cyfry ÷ 4,C,2 ostatnie cyfry ÷ 4
08,Podzielność,7,Liczba pierwsza ma…,tylko dzielnik 1,dokładnie 2 dzielniki: 1 i siebie,nieskończenie wiele dzielników,B,dokładnie 2 dzielniki: 1 i siebie
08,Podzielność,8,Czy 1 jest liczbą pierwszą?,nie,tylko w kl. 1,tak,A,nie
08,Podzielność,9,Czy 15 dzieli się przez 3?,tylko przez 5,nie,tak,C,tak
08,Podzielność,10,Czy 20 dzieli się przez 10?,nie,tak,tylko przez 3,B,tak
09,Ułamki zwykłe (1),1,W ułamku a/b litera a to…,mianownik,licznik,suma,B,licznik
09,Ułamki zwykłe (1),2,W ułamku a/b litera b to…,mianownik,iloczyn,licznik,A,mianownik
09,Ułamki zwykłe (1),3,Licznik mówi…,ile wynosi suma,na ile części podzielono,ile części bierzemy,C,ile części bierzemy
09,Ułamki zwykłe (1),4,Mianownik mówi…,ile części bierzemy,na ile równych części podzielono,która to cyfra,B,na ile równych części podzielono
09,Ułamki zwykłe (1),5,Czy mianownik może być 0?,nie,tylko ujemny,tak,A,nie
09,Ułamki zwykłe (1),6,Ułamek właściwy: licznik jest…,równy zero zawsze,większy od mianownika,mniejszy od mianownika,C,mniejszy od mianownika
09,Ułamki zwykłe (1),7,1 3/4 jako ułamek niewłaściwy = ?,4/7,7/4,1/4,B,7/4
09,Ułamki zwykłe (1),8,1/2 = 2/4 — to ułamki…,równe,ujemne,różne,A,równe
09,Ułamki zwykłe (1),9,W 3/4 liczba 3 to…,całość,mianownik,licznik,C,licznik
09,Ułamki zwykłe (1),10,W 3/4 liczba 4 to…,licznik,mianownik,procent,B,mianownik
10,Ułamki zwykłe (2),1,Skracanie ułamka: licznik i mianownik…,dodajemy 1,dzielimy tą samą liczbą ≠ 0,mnożymy przez 0,B,dzielimy tą samą liczbą ≠ 0
10,Ułamki zwykłe (2),2,Rozszerzanie ułamka: licznik i mianownik…,mnożymy tą samą liczbą ≠ 0,dzielimy przez 0,odejmujemy 1,A,mnożymy tą samą liczbą ≠ 0
10,Ułamki zwykłe (2),3,4/6 po skróceniu = ?,6/4,4/3,2/3,C,2/3
10,Ułamki zwykłe (2),4,Czy skracanie zmienia wartość ułamka?,"tak, zawsze",nie,tylko w kl. 8,B,nie
10,Ułamki zwykłe (2),5,Do +/− ułamków często potrzebny jest…,wspólny mianownik,procent,pierwiastek,A,wspólny mianownik
10,Ułamki zwykłe (2),6,2/5 ? 3/5 (ten sam mianownik),2/5 = 3/5,2/5 > 3/5,2/5 < 3/5,C,2/5 < 3/5
10,Ułamki zwykłe (2),7,3/4 = 3 : 4 — ułamek to też…,odejmowanie,dzielenie,kąt,B,dzielenie
10,Ułamki zwykłe (2),8,Ułamek nieskracalny ma NWD = ?,1,mianownik,0,A,1
10,Ułamki zwykłe (2),9,2/3 = 4/6 — to…,potęga,odejmowanie,rozszerzanie / równość,C,rozszerzanie / równość
10,Ułamki zwykłe (2),10,Skracanie i rozszerzanie…,zawsze zwiększają wartość,nie zmieniają wartości,zawsze zmniejszają,B,nie zmieniają wartości
11,Ułamki dziesiętne,1,Przecinek w ułamku dziesiętnym oddziela…,licznik od mianownika,część całkowitą od ułamkowej,metry od centymetrów,B,część całkowitą od ułamkowej
11,Ułamki dziesiętne,2,"0,5 jako ułamek zwykły = ?",1/2,0/5,5/1,A,1/2
11,Ułamki dziesiętne,3,"0,5 = ? %","0,5%",5%,50%,C,50%
11,Ułamki dziesiętne,4,Pierwsze miejsce po przecinku to…,setne,dziesiąte,tysięczne,B,dziesiąte
11,Ułamki dziesiętne,5,Drugie miejsce po przecinku to…,setne,jedności,dziesiąte,A,setne
11,Ułamki dziesiętne,6,"Czy 0,5 = 0,50?",tylko w pieniądzach,nie,tak,C,tak
11,Ułamki dziesiętne,7,"Zaokrąglij 1,47 do 1 miejsca po przecinku.","1,4","1,5","1,0",B,"1,5"
11,Ułamki dziesiętne,8,"Które większe: 1,25 czy 1,3?","1,3",są równe,"1,25",A,"1,3"
11,Ułamki dziesiętne,9,"0,25 = ?",2/5,1/2,1/4,C,1/4
11,Ułamki dziesiętne,10,"W 12,50 zł po przecinku są…",złote,grosze / setne,kilometry,B,grosze / setne
12,Działania na ułamkach,1,Przy +/− ułamków najpierw…,mnożenie,wspólny mianownik,pierwiastek,B,wspólny mianownik
12,Działania na ułamkach,2,1/4 + 2/4 = ?,3/4,1/2,3/8,A,3/4
12,Działania na ułamkach,3,Jak mnożymy ułamki?,na krzyż zawsze,tylko mianowniki,"licznik×licznik, mianownik×mianownik",C,"licznik×licznik, mianownik×mianownik"
12,Działania na ułamkach,4,Dzielenie ułamków = …,odejmowanie mianowników,mnożenie przez odwrotność,dodawanie liczników,B,mnożenie przez odwrotność
12,Działania na ułamkach,5,Odwrotność 2/3 to…,3/2,3/5,2/3,A,3/2
12,Działania na ułamkach,6,a/b : c/d = ?,a/c × b/d,a/b × c/d,a/b × d/c,C,a/b × d/c
12,Działania na ułamkach,7,1/2 × 1/3 = ?,1/5,1/6,2/3,B,1/6
12,Działania na ułamkach,8,Po co skracać przed ×?,żeby liczyć na mniejszych liczbach,żeby dodać zero,żeby zmienić wynik,A,żeby liczyć na mniejszych liczbach
12,Działania na ułamkach,9,1/2 + 1/3 wymaga…,procentu,pierwiastka,wspólnego mianownika,C,wspólnego mianownika
12,Działania na ułamkach,10,Odwrotność 5 to…,5,1/5,0,B,1/5
13,Potęgi,1,W aⁿ litera a to…,wykładnik,podstawa,suma,B,podstawa
13,Potęgi,2,W aⁿ litera n to…,wykładnik,mianownik,podstawa,A,wykładnik
13,Potęgi,3,2³ = ?,9,6,8,C,8
13,Potęgi,4,a² oznacza…,a + 2,a · a,2 · a,B,a · a
13,Potęgi,5,a³ oznacza…,a · a · a,3 · a,a + 3,A,a · a · a
13,Potęgi,6,a¹ = ?,0,1,a,C,a
13,Potęgi,7,a⁰ = ? (a ≠ 0),0,1,a,B,1
13,Potęgi,8,Przy mnożeniu potęg o tej samej podstawie wykładniki…,dodajemy,odejmujemy od 100,mnożymy zawsze przez 0,A,dodajemy
13,Potęgi,9,10² = ?,1000,20,100,C,100
13,Potęgi,10,2⁴ = ?,8,16,6,B,16
14,Pierwiastki,1,√9 = ?,9,3,"4,5",B,3
14,Pierwiastki,2,√ oznacza…,pierwiastek kwadratowy,kąt,procent,A,pierwiastek kwadratowy
14,Pierwiastki,3,"Jeśli √a = b, to…",b = a : 2,b = a + 2,b² = a,C,b² = a
14,Pierwiastki,4,√16 = ?,8,4,2,B,4
14,Pierwiastki,5,√25 = ?,5,15,"12,5",A,5
14,Pierwiastki,6,Czy √2 jest liczbą całkowitą?,tylko ujemną,tak,nie,C,nie
14,Pierwiastki,7,√1 = ?,0,1,2,B,1
14,Pierwiastki,8,√0 = ?,0,10,1,A,0
14,Pierwiastki,9,√49 = ?,9,14,7,C,7
14,Pierwiastki,10,√a · √a = ? (a ≥ 0),2a,a,√2a,B,a
15,Procenty,1,1% = ?,1/10,1/100,100,B,1/100
15,Procenty,2,50% = ?,1/2,50,1/5,A,1/2
15,Procenty,3,25% = ?,2/5,1/5,1/4,C,1/4
15,Procenty,4,Jak policzyć p% z liczby?,liczba + p,liczba × p/100,liczba : p,B,liczba × p/100
15,Procenty,5,10% z 200 = ?,20,200,10,A,20
15,Procenty,6,Zwiększenie o 20%: mnożymy przez…,20,"0,20","1,20",C,"1,20"
15,Procenty,7,Zmniejszenie o 20%: mnożymy przez…,"1,20","0,80",20,B,"0,80"
15,Procenty,8,"0,25 = ? %",25%,"2,5%","0,25%",A,25%
15,Procenty,9,100% z liczby to…,połowa,zero,cała liczba,C,cała liczba
15,Procenty,10,1% z 100 = ?,100,1,10,B,1
16,Proporcjonalność,1,"Proporcjonalność prosta: gdy x rośnie 2×, y…",maleje 2×,też 2×,zostaje 0,B,też 2×
16,Proporcjonalność,2,W y = kx współczynnik k jest…,stały,zawsze ujemny,zawsze 0,A,stały
16,Proporcjonalność,3,Wykres y = kx to…,parabola zawsze,okrąg,"prosta przez (0,0)",C,"prosta przez (0,0)"
16,Proporcjonalność,4,"Jeśli 2 kg kosztują 10 zł, 1 kg kosztuje…",20 zł,5 zł,2 zł,B,5 zł
16,Proporcjonalność,5,Proporcja a:b = c:d oznacza…,a/b = c/d,a · b = c,a + b = c + d,A,a/b = c/d
16,Proporcjonalność,6,W tabeli przy proporcji prostej y/x jest…,zawsze 100,losowy,stały,C,stały
16,Proporcjonalność,7,"Jeśli 3 zeszyty = 12 zł, 5 zeszytów = ?",15 zł,20 zł,60 zł,B,20 zł
16,Proporcjonalność,8,Cena za kg i masa — przykład proporcji…,prostej,pierwiastka,kąta,A,prostej
16,Proporcjonalność,9,k = y/x — to…,średnica,procent,współczynnik proporcjonalności,C,współczynnik proporcjonalności
16,Proporcjonalność,10,"Gdy x = 0 w y = kx, to y = ?",k,0,1,B,0
17,Wyrażenia algebraiczne,1,Wyrażenie z literami i liczbami to…,tylko ułamek,wyrażenie algebraiczne,kąt prosty,B,wyrażenie algebraiczne
17,Wyrażenia algebraiczne,2,Litera w wyrażeniu to często…,zmienna,procent,jednostka długości,A,zmienna
17,Wyrażenia algebraiczne,3,Wartość liczbowa: podstawiamy…,tylko ułamek,tylko zero,liczbę zamiast litery,C,liczbę zamiast litery
17,Wyrażenia algebraiczne,4,3x oznacza…,3 + x,3 · x,3 : x,B,3 · x
17,Wyrażenia algebraiczne,5,x² oznacza…,x · x,x + 2,2 · x,A,x · x
17,Wyrażenia algebraiczne,6,Kolejność działań w wyrażeniach…,tylko dodawanie,od prawej zawsze,jak zwykle: () potęgi ×: +−,C,jak zwykle: () potęgi ×: +−
17,Wyrażenia algebraiczne,7,Dla x = 2 wartość 3x + 1 = ?,5,7,6,B,7
17,Wyrażenia algebraiczne,8,5a + 2a = ?,7a,5a2a,10a,A,7a
17,Wyrażenia algebraiczne,9,Wyrażenie 2x + 5 ma…,tylko procent,tylko liczby,zmienną x,C,zmienną x
17,Wyrażenia algebraiczne,10,"Gdy x = 0, to 4x = ?",4,0,1,B,0
18,Sumy algebraiczne,1,Jednomian to np.…,x + y + 1 zawsze jako suma 3 wyrazów,3x²,tylko znak =,B,3x²
18,Sumy algebraiczne,2,Suma algebraiczna to…,suma/różnica jednomianów,kąt 90°,tylko jedna cyfra,A,suma/różnica jednomianów
18,Sumy algebraiczne,3,Wyrazy podobne mają…,tylko liczby,różne litery zawsze,te same litery z tymi samymi wykładnikami,C,te same litery z tymi samymi wykładnikami
18,Sumy algebraiczne,4,Redukcja wyrazów podobnych to…,usuwanie liter,łączenie (dodawanie współczynników),dzielenie przez 0,B,łączenie (dodawanie współczynników)
18,Sumy algebraiczne,5,Współczynnik w 5a to…,5,0,a,A,5
18,Sumy algebraiczne,6,3x + 2x = ?,3x2x,6x,5x,C,5x
18,Sumy algebraiczne,7,7y − 7y = ?,14y,0,1,B,0
18,Sumy algebraiczne,8,Czy 3x i 3x² są podobne?,nie,tylko gdy x = 1,tak,A,nie
18,Sumy algebraiczne,9,2a + 3b — czy to wyrazy podobne?,tylko w kl. 1,tak,nie,C,nie
18,Sumy algebraiczne,10,x + x + x = ?,x³,3x,x + 3,B,3x
19,Równania,1,Równanie to…,tylko dodawanie,równość z niewiadomą,rysunek koła,B,równość z niewiadomą
19,Równania,2,Niewiadoma to zwykle…,litera (np. x),znak %,jednostka °C,A,litera (np. x)
19,Równania,3,Rozwiązanie równania to…,zawsze 1,zawsze 0,liczba spełniająca równość,C,liczba spełniająca równość
19,Równania,4,Metoda bilansowania: co zrobisz jednej stronie…,usuń nawiasy i koniec,zrób drugiej,podziel przez zero,B,zrób drugiej
19,Równania,5,x + 5 = 12 → x = ?,7,5,17,A,7
19,Równania,6,Jak sprawdzić rozwiązanie?,narysować kąt,zaokrąglić,podstawić do równania,C,podstawić do równania
19,Równania,7,Przenoszenie na drugą stronę zmienia…,literę na cyfrę,znak (+ ↔ −),procent na ułamek zawsze,B,znak (+ ↔ −)
19,Równania,8,x − 3 = 10 → x = ?,13,30,7,A,13
19,Równania,9,2x = 10 → x = ?,12,8,5,C,5
19,Równania,10,Czy 3 = 3 to równanie z niewiadomą?,tak,nie,tylko w kl. 8,B,nie
20,Długość,1,Podstawowa jednostka długości w szkole?,kilogram,metr (m),litr,B,metr (m)
20,Długość,2,1 m = ? cm,100,1000,10,A,100
20,Długość,3,1 m = ? mm,10,100,1000,C,1000
20,Długość,4,1 km = ? m,100,1000,10,B,1000
20,Długość,5,Linijką mierzymy…,długość,temperaturę,masę,A,długość
20,Długość,6,Obwód to…,objętość,pole wewnątrz,suma długości boków,C,suma długości boków
20,Długość,7,Które dłuższe: 1 m czy 90 cm?,90 cm,1 m,są równe,B,1 m
20,Długość,8,"2,5 m = ? cm",250,2500,25,A,250
20,Długość,9,1 cm = ? mm,1,100,10,C,10
20,Długość,10,50 cm = ? m,5,"0,5",50,B,"0,5"
21,Masa,1,Masa mówi…,jak długie jest coś,jak ciężkie jest coś,jak ciepłe jest coś,B,jak ciężkie jest coś
21,Masa,2,1 kg = ? g,1000,10,100,A,1000
21,Masa,3,1 t = ? kg,10,100,1000,C,1000
21,Masa,4,Ważymy na…,linijce,wadze,zegarze,B,wadze
21,Masa,5,Które cięższe: 1 kg czy 800 g?,1 kg,są równe,800 g,A,1 kg
21,Masa,6,250 g = ? kg,25,"2,5","0,25",C,"0,25"
21,Masa,7,Lekkie rzeczy często w…,kilometrach,gramach,litrach zawsze,B,gramach
21,Masa,8,Masa netto to…,ile produktu jest w środku,data ważności tylko,cena,A,ile produktu jest w środku
21,Masa,9,2 kg = ? g,20,200,2000,C,2000
21,Masa,10,500 g = ? kg,5,"0,5",50,B,"0,5"
22,Objętość i litr,1,Objętość mówi…,jak ciężkie jest,ile miejsca zajmuje,jak długie jest,B,ile miejsca zajmuje
22,Objętość i litr,2,1 l = ? ml,1000,10,100,A,1000
22,Objętość i litr,3,1 l ≈ ? cm³,10,100,1000,C,1000
22,Objętość i litr,4,Płyny często w…,kilometrach,litrach / mililitrach,stopniach °C,B,litrach / mililitrach
22,Objętość i litr,5,V prostopadłościanu = ?,a · b · c,2(a+b),a + b + c,A,a · b · c
22,Objętość i litr,6,Pudełko 2×3×4 → V = ?,14,9,24,C,24
22,Objętość i litr,7,500 ml = ? l,5,"0,5",50,B,"0,5"
22,Objętość i litr,8,Co większe: 1 l czy 900 ml?,1 l,są równe,900 ml,A,1 l
22,Objętość i litr,9,250 ml = ? l,25,"2,5","0,25",C,"0,25"
22,Objętość i litr,10,Objętość sześcianu o krawędzi 2 = ?,6,8,4,B,8
23,Czas,1,1 min = ? s,100,60,10,B,60
23,Czas,2,1 h = ? min,60,24,100,A,60
23,Czas,3,1 doba = ? h,60,12,24,C,24
23,Czas,4,Ile zwykle trwa przerwa?,ok. 45 min,ok. 15 min,ok. 2 h,B,ok. 15 min
23,Czas,5,Ile zwykle trwa lekcja?,ok. 45 min,ok. 5 min,ok. 15 min,A,ok. 45 min
23,Czas,6,Czas liczymy w systemie…,10,100,60,C,60
23,Czas,7,"2,5 h = ? min",250,150,25,B,150
23,Czas,8,Od 14:20 do 15:05 minęło…,45 min,25 min,85 min,A,45 min
23,Czas,9,30 min = ? h,30 h,3 h,"0,5 h",C,"0,5 h"
23,Czas,10,1 h 30 min = ? min,130,90,60,B,90
24,Kalendarz,1,1 tydzień = ? dni,5,7,10,B,7
24,Kalendarz,2,Rok zwykle ma…,365 dni,30 dni,100 dni,A,365 dni
24,Kalendarz,3,W roku przestępnym luty ma…,30 dni,28 dni,29 dni,C,29 dni
24,Kalendarz,4,Data to…,tylko godzina,"dzień, miesiąc, rok",tylko temperatura,B,"dzień, miesiąc, rok"
24,Kalendarz,5,Kalendarz w kl. 1–3 pomaga przy…,"urodzinach, feriach, dniu tygodnia",tylko polu koła,tylko mnożeniu,A,"urodzinach, feriach, dniu tygodnia"
24,Kalendarz,6,Po poniedziałku jest…,piątek,niedziela,wtorek,C,wtorek
24,Kalendarz,7,Kwiecień ma…,31 dni,30 dni,28 dni,B,30 dni
24,Kalendarz,8,Rok przestępny ma…,366 dni,360 dni,365 dni,A,366 dni
24,Kalendarz,9,1 miesiąc ma zwykle…,365 dni,7 dni,28–31 dni,C,28–31 dni
24,Kalendarz,10,Ferie szukasz w…,tabliczce mnożenia,kalendarzu,kątomierzu,B,kalendarzu
25,Temperatura,1,Jednostka temperatury w szkole?,kg,°C,m,B,°C
25,Temperatura,2,Przyrząd do temperatury?,termometr,waga,linijka,A,termometr
25,Temperatura,3,Temperatura poniżej zera to…,zawsze 0 tylko,zawsze 100°C,ujemna / mróz,C,ujemna / mróz
25,Temperatura,4,−3°C ? 2°C,−3 > 2,−3 < 2,−3 = 2,B,−3 < 2
25,Temperatura,5,Różnica z −4 do +6 = ?,10°,24°,2°,A,10°
25,Temperatura,6,+5°C jest…,równo 100,poniżej zera,powyżej zera,C,powyżej zera
25,Temperatura,7,Jak porównujemy temperatury?,jak ułamki tylko,jak liczby całkowite na osi,jak procenty tylko,B,jak liczby całkowite na osi
25,Temperatura,8,0°C to…,zero na skali Celsjusza,temperatura ciała zawsze,wrzątek,A,zero na skali Celsjusza
25,Temperatura,9,−8°C jest zimniej niż…,0°C nigdy,+2°C tylko gdy deszcz,−2°C,C,−2°C
25,Temperatura,10,Prognoza pogody podaje…,tylko długość w km,temperaturę w °C,tylko masę w kg,B,temperaturę w °C
26,Pieniądze,1,1 zł = ? gr,10,100,1000,B,100
26,Pieniądze,2,"W 12,50 zł przed przecinkiem są…",złote,kilometry,grosze,A,złote
26,Pieniądze,3,"Bułka 5 zł, masz 10 zł — reszta?",0 zł,15 zł,5 zł,C,5 zł
26,Pieniądze,4,Reszta = ?,cena × 2,ile dałeś − cena,cena + 100,B,ile dałeś − cena
26,Pieniądze,5,"3,40 + 1,75 = ?","5,15","5,00","4,15",A,"5,15"
26,Pieniądze,6,Pieniądze liczysz jak…,pierwiastki,kąty,ułamki dziesiętne,C,ułamki dziesiętne
26,Pieniądze,7,Za 15 zł bułek po 5 zł kupisz…,5,3,15,B,3
26,Pieniądze,8,Przy porównywaniu cen sprowadź do…,tej samej jednostki,tylko procentów,różnych jednostek,A,tej samej jednostki
26,Pieniądze,9,2 zł 50 gr = ?,"0,25 zł",250 zł,"2,50 zł",C,"2,50 zł"
26,Pieniądze,10,"Masz 20 zł, wydasz 12,30 — zostanie…","8,70 zł","7,70 zł","32,30 zł",B,"7,70 zł"
27,Prędkość i skala,1,v = ?,s · t,s / t,s + t,B,s / t
27,Prędkość i skala,2,s = ?,v · t,v − t,v / t,A,v · t
27,Prędkość i skala,3,t = ?,s + v,s · v,s / v,C,s / v
27,Prędkość i skala,4,km/h oznacza…,kilogramy na godzinę,kilometry na godzinę,kąty na godzinę,B,kilometry na godzinę
27,Prędkość i skala,5,120 km / 2 h = ?,60 km/h,122 km/h,240 km/h,A,60 km/h
27,Prędkość i skala,6,Skala 1:100 000 — 1 cm na mapie to…,100 cm w terenie,1 cm w terenie,100 000 cm w terenie,C,100 000 cm w terenie
27,Prędkość i skala,7,Skala 1:n oznacza…,powiększenie n razy,pomniejszenie n razy,dodanie n,B,pomniejszenie n razy
27,Prędkość i skala,8,"Jeśli v = 50 km/h i t = 2 h, to s = ?",100 km,52 km,25 km,A,100 km
27,Prędkość i skala,9,Jednostka prędkości w szkole często…,°C,kg,km/h,C,km/h
27,Prędkość i skala,10,Mapa w skali pomaga liczyć…,temperaturę,odległość w terenie,masę,B,odległość w terenie
28,Figury płaskie (1),1,Okno w klasie najczęściej wygląda jak…,koło,prostokąt,linia tylko,B,prostokąt
28,Figury płaskie (1),2,Punkt — czy ma długość?,nie,"tak, 1 cm","tak, zawsze 1 m",A,nie
28,Figury płaskie (1),3,Prosta — czy ma koniec?,"tak, jeden koniec","tak, dwa końce",nie,C,nie
28,Figury płaskie (1),4,Odcinek ma…,0 końców,2 końce,nieskończenie wiele końców,B,2 końce
